Technology,VECTO_Group,Year,Scenario,Component,Value
HVO,1,2040,Average,CAPEX,49900.00
HVO,2,2040,Average,CAPEX,72572.00
HVO,3,2040,Average,CAPEX,78155.00
HVO,4-UD,2040,Average,CAPEX,78155.00
HVO,4-RD,2040,Average,CAPEX,83738.00
HVO,4-LH,2040,Average,CAPEX,110423.00
HVO,5-RD,2040,Average,CAPEX,89320.00
HVO,5-LH,2040,Average,CAPEX,115000.00
HVO,9-RD,2040,Average,CAPEX,90438.00
HVO,9-LH,2040,Average,CAPEX,117233.00
HVO,10-RD,2040,Average,CAPEX,96018.00
HVO,10-LH,2040,Average,CAPEX,121700.00
HVO,11,2040,Average,CAPEX,150728.00
HVO,12,2040,Average,CAPEX,156312.00
HVO,16,2040,Average,CAPEX,173057.00
